               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.043968,            0.019015,            0.028545,             0.63737,             0.56057,             0.70371,              0.3806,            0.038391,            0.011634,            0.032647,           0.0096535,           0.0096535,           0.0096535
                  37,            0.044629,            0.019794,            0.027415,             0.70979,             0.59525,             0.71233,             0.43098,            0.035173,            0.011486,            0.026966,           0.0096436,           0.0096436,           0.0096436
                  38,            0.044581,            0.019117,             0.02746,             0.74633,             0.63925,             0.76527,             0.42429,            0.039452,            0.010396,            0.024902,           0.0096337,           0.0096337,           0.0096337
                  39,            0.045409,            0.018845,            0.026932,             0.70375,             0.64753,             0.74716,             0.43251,            0.040271,            0.010891,            0.023918,           0.0096238,           0.0096238,           0.0096238
                  40,             0.04335,             0.01853,            0.027182,             0.68301,             0.65885,             0.75166,             0.43713,            0.038604,            0.011429,            0.026623,           0.0096139,           0.0096139,           0.0096139
                  41,            0.043963,            0.018308,            0.024862,             0.72393,             0.73734,             0.80346,             0.48515,            0.036582,           0.0098731,            0.024001,            0.009604,            0.009604,            0.009604
                  42,            0.042619,            0.018406,             0.02424,             0.60077,             0.77166,             0.77986,             0.49455,            0.036629,            0.010177,            0.026134,           0.0095941,           0.0095941,           0.0095941
                  43,            0.043884,            0.018573,            0.023557,             0.63816,             0.73488,             0.74774,              0.4325,             0.03955,             0.01056,            0.022386,           0.0095842,           0.0095842,           0.0095842
                  44,            0.042104,            0.018465,            0.022807,             0.64424,             0.71907,             0.77073,              0.4197,            0.039802,            0.010428,            0.018938,           0.0095743,           0.0095743,           0.0095743
                  45,            0.043004,            0.018817,            0.021598,             0.71251,             0.71755,             0.75194,             0.41227,            0.036848,            0.010589,            0.018629,           0.0095644,           0.0095644,           0.0095644
                  46,             0.04165,            0.017923,            0.022608,             0.75641,              0.6547,             0.81096,             0.47266,            0.039483,             0.01029,            0.019864,           0.0095545,           0.0095545,           0.0095545
                  47,            0.042776,            0.018395,            0.021471,             0.62356,             0.80911,             0.82249,             0.46957,            0.040581,            0.010531,            0.021303,           0.0095446,           0.0095446,           0.0095446
                  48,            0.041026,            0.018054,            0.020185,             0.77986,             0.67726,             0.80482,             0.45496,            0.037443,            0.010708,            0.016633,           0.0095347,           0.0095347,           0.0095347
